11671210|2023-03-17T01:41:13|38.0284|36.5976|5.0|us|NEIC PDE|us|us7000jkp9|mb|4.4|us|TURKEY
11671385|2023-03-16T19:59:13|36.2558|34.3695|10.0|us|NEIC PDE|us|us7000jkk9|mb|4.3|us|TURKEY
11670713|2023-03-16T11:47:14|38.4941|45.0629|10.0|us|NEIC PDE|us|us7000jkel|Mww|5.2|us|ARMENIA-AZERBAIJAN-IRAN BORD REG
11670523|2023-03-15T03:29:56|37.1468|36.3894|12.301|us|NEIC PDE|us|us7000jjzy|mb|4.2|us|TURKEY
11669660|2023-03-14T14:49:49|37.7866|37.3903|10.0|us|NEIC PDE|us|us7000jjv5|Mwr|4.6|us|TURKEY
11669573|2023-03-14T06:47:34|38.0681|36.9544|3.289|us|NEIC PDE|us|us7000jjrw|Mwr|4.6|us|TURKEY
11669951|2023-03-14T02:27:52|38.1074|38.5417|8.714|us|NEIC PDE|us|us7000jjqf|Mwr|3.9|us|TURKEY
11668910|2023-03-13T02:23:14|36.8216|36.5749|8.342|us|NEIC PDE|us|us7000jjg7|mb|4.3|us|JORDAN - SYRIA REGION
11668909|2023-03-13T02:13:53|38.1186|38.6785|10.0|us|NEIC PDE|us|us7000jjg2|mb|4.4|us|TURKEY
11668897|2023-03-13T01:34:30|38.1188|38.6904|5.474|us|NEIC PDE|us|us7000jjft|Mwr|4.6|us|TURKEY
11668710|2023-03-12T12:31:22|37.9391|36.329|10.0|us|NEIC PDE|us|us7000jjbv|mb|4.3|us|TURKEY
11668404|2023-03-11T19:35:16|36.9506|35.7349|3.736|us|NEIC PDE|us|us7000jj67|mb|4.3|us|TURKEY
11668201|2023-03-11T11:32:10|38.0803|38.5901|9.859|us|NEIC PDE|us|us7000jj4b|mb|4.3|us|TURKEY
11667606|2023-03-10T07:58:34|37.9912|37.4971|8.969|us|NEIC PDE|us|us7000jirp|mb|4.1|us|TURKEY
11667451|2023-03-10T02:28:15|38.6673|35.3344|5.0|us|NEIC PDE|us|us7000jiph|Mwr|4.8|us|TURKEY
11667340|2023-03-09T23:34:17|38.0645|38.4618|5.369|us|NEIC PDE|us|us7000jin6|mb|4.1|us|TURKEY
11667221|2023-03-09T18:55:28|38.056|38.4539|10.0|us|NEIC PDE|us|us7000jikw|Mwr|4.3|us|TURKEY
11665881|2023-03-07T14:18:21|38.8412|37.3634|10.0|us|NEIC PDE|us|us7000jhwd|Mwr|4.2|us|TURKEY
11665889|2023-03-07T11:53:38|38.7072|35.3412|3.922|us|NEIC PDE|us|us7000jhvq|Mwr|4.1|us|TURKEY
11665853|2023-03-07T11:47:27|38.6357|35.2785|5.0|us|NEIC PDE|us|us7000jhvn|Mwr|4.7|us|TURKEY
11665847|2023-03-07T09:40:12|37.6831|36.6319|11.332|us|NEIC PDE|us|us7000jhv7|mb|4.4|us|TURKEY
11673602|2023-03-06T22:14:57|36.1589|36.0428|10.0|us|NEIC PDE|us|us7000jhrd|mb|4.0|us|JORDAN - SYRIA REGION
11665510|2023-03-06T13:03:25|38.197|37.2109|14.422|us|NEIC PDE|us|us7000jhmg|mb|4.0|us|TURKEY
11665465|2023-03-06T11:02:56|36.2202|36.0072|10.0|us|NEIC PDE|us|us7000jhlx|mb|4.0|us|JORDAN - SYRIA REGION
11668964|2023-03-06T08:14:18|36.1163|36.1532|20.681|us|NEIC PDE|us|us7000jhl4|mb|4.2|us|JORDAN - SYRIA REGION
11668943|2023-03-06T05:51:08|37.9394|37.9123|5.035|us|NEIC PDE|us|us7000jhkj|mb|4.1|us|TURKEY
11665365|2023-03-06T02:16:02|36.1816|36.0375|10.0|us|NEIC PDE|us|us7000jhjt|mb|4.0|us|JORDAN - SYRIA REGION
11665323|2023-03-05T20:49:46|36.7867|36.1842|10.0|us|NEIC PDE|us|us7000jhi7|Mwr|4.8|us|JORDAN - SYRIA REGION
